rank,age,player_name,gamertag,num_frst,num_scnd,num_thrd,num_top3,earnings,earnings_per_top3,log_earnings,is_outlier
1558,25,,MrPopo,0,0,1,1,1250,1250,7.1316985104669115,False
1559,25,,EquinoX,0,0,1,1,1250,1250,7.1316985104669115,False
1560,25,,Maestro,0,0,1,1,1250,1250,7.1316985104669115,False
1561,25,,Temps,0,0,1,1,1250,1250,7.1316985104669115,False
1562,25,,Forever,13,3,1,17,1247,73,7.129297548929373,False
1563,22,Bedirhan Kiliç,Beci,7,8,2,17,1242,73,7.1252830915107115,False
1564,25,,SkyBuu,0,0,1,1,1239,1239,7.122866658599083,False
1565,27,Shohei Kameya,Mocho,0,0,1,1,1238,1238,7.122059881629142,False
1566,25,,Szikaly,0,1,8,9,1235,137,7.119635638017636,False
1567,22,Efe Aras,GutterO,6,3,2,11,1235,112,7.119635638017636,False
1568,29,Mandeep Singh,DefinitelyaNoob,1,1,3,5,1234,247,7.118826249062078,False
1569,22,Mario Manzato,Dora,1,0,0,1,1234,1234,7.118826249062078,False
1570,31,Grégory Pesenti,Xkos,1,0,0,1,1225,1225,7.111512116496157,False
1571,25,,Kotly,0,1,0,1,1222,1222,7.109062135687172,False
1572,25,,Shoxl,7,3,2,12,1217,101,7.1049654482698426,False
1573,25,,Bodolf,7,3,2,12,1217,101,7.1049654482698426,False
1574,25,,Kenki,0,2,1,3,1211,404,7.10002716662926,False
1575,25,,Jeny,2,0,0,2,1207,604,7.0967213784947605,False
1576,25,,Darkwin,0,1,1,2,1206,603,7.095893221097532,False
1577,21,Alexis Barón,Xyro,0,0,2,2,1205,602,7.095064377287131,False
1578,25,,Coy,1,1,0,2,1204,602,7.094234845924755,False
1579,35,Jordan Soojian,BKN,0,0,0,0,1200,0,7.0909098220799835,False
1580,25,,Ranger,0,0,1,1,1200,1200,7.0909098220799835,False
1581,25,,bragod,1,0,1,2,1200,600,7.0909098220799835,False
1582,25,,Durawix,1,2,2,5,1193,239,7.085064293952548,False
1583,20,Adrian D.,zCrxticxl,6,1,2,9,1190,132,7.0825485693553,False
1584,25,,Thomsen,1,0,1,2,1181,590,7.074963197966044,False
1585,20,Botond Örs Erdélyi,Delyii,2,1,0,3,1180,393,7.074116816197362,False
1586,25,,Cybrr,4,2,2,8,1179,147,7.07326971745971,False
1587,25,,Xethy,0,0,1,1,1179,1179,7.07326971745971,False
