#,age,Name,Player,Achievements,Unnamed: 3,Unnamed: 4,Unnamed: 5,Earnings
136,22.0,Osama Al Zahrani,Tr1ixd,,11,8,1,"$100,510"
137,26.0,Sumate Srimabut,i9,,18,9,12,"$98,713"
138,28.0,Austin Trexler,Yung,,5,6,3,"$98,313"
139,25.0,Hussein Ali Shrara,Valantino,,3,5,7,"$97,825"
140,19.0,Liam Paz,Ashn,,11,3,2,"$96,261"
141,22.0,Caio Szazi,Neskin,,3,2,5,"$95,003"
142,22.0,Aoi Tanigawa,Wqsyo1,,12,1,4,"$94,165"
143,26.0,Nathan Valenti,nvK,,5,5,2,"$93,855"
144,22.0,Riku Katou,Rec,,9,1,3,"$93,186"
145,26.0,Luke Kendrew,Kendrew,,9,3,3,"$92,673"
146,24.0,Mohamed Matin bin Mohamed Yunos,SpeakEasy,,8,6,4,"$92,188"
147,25.0,Szymon Kamieniak,Saves,,10,1,3,"$92,119"
148,26.0,Alexander Lloyd,Retro,,4,1,4,"$91,696"
149,25.0,Tom Pieksma,Deapek,,10,3,3,"$91,102"
150,,,Necrox,,3,5,1,"$90,812"
151,25.0,Jang Byeong-uk,RIN,,7,7,5,"$90,530"
152,23.0,Lee Hyo-jun,Harp3rXD,,11,5,6,"$89,552"
153,27.0,Alexander Lawson,Yeti,,5,2,5,"$86,203"
153,25.0,Lim Heon-seong,Yeti,,5,2,5,"$86,203"
154,,,Levy,,3,3,4,"$85,159"
155,26.0,Etienne Rousseau,Mag,,5,2,3,"$84,828"
156,21.0,Souma Kitamura,FishLike,,9,0,1,"$83,693"
157,,,Pojoman,,2,1,5,"$82,476"
158,27.0,Jason Chen,Lusty,,7,2,3,"$81,273"
159,24.0,Song Dong-seon,SyAIL,,11,8,8,"$80,968"
160,27.0,Atibordee Noichan,Sapper,,22,9,8,"$80,150"
161,22.0,Aldi Firmansyah,Hovenherst,,5,7,3,"$79,958"
162,23.0,Omar Al Dajani,Eaglex99,,7,7,9,"$78,646"
163,24.0,Adithep Channuan,DCH,,21,7,9,"$78,597"
164,23.0,Evan Bushore,Kanzen,,2,5,6,"$77,993"
165,33.0,Ville Palola,SHA77E,,7,3,4,"$77,470"
166,24.0,Paramin Suwanwattana,sprOnigiri,,16,6,6,"$77,206"
167,26.0,Jan Philipp Hucke,ripz,,5,3,3,"$76,864"
168,22.0,Marc Steinmann,jume,,10,12,10,"$76,580"
169,27.0,Spencer Oliver,Slashug,,3,3,9,"$75,169"
170,22.0,Lee Si-hyeon,Soldier,,5,5,5,"$74,019"
171,21.0,Wu Weichen,Reeps96,,2,2,0,"$73,970"
172,36.0,Seth Hoffman,supr,,3,4,4,"$73,912"
173,25.0,Heo Se-woong,CATsang,,6,12,5,"$72,690"
174,31.0,Rafael Loureiro Freitas,mav,,2,3,6,"$71,895"
175,,,Sageon,,10,6,6,"$71,861"
176,20.0,Ayden Gabari,dfuzr,,3,1,0,"$71,780"
177,26.0,Yuusuke Sashiyama,Pyon,,11,1,4,"$68,741"
178,25.0,Luiz Augusto da Silva Abrantes,Miracle,,1,1,8,"$68,679"
179,24.0,Luke Casey,Tyrant,,3,2,7,"$68,440"
180,27.0,Lucca Cesana Coser,MKing,,3,1,3,"$67,518"
181,,,kondz,,4,2,3,"$66,490"
182,31.0,Théophile Dupont,Hicks,,7,3,2,"$66,426"
183,27.0,Kim Dae-yeong,Demic,,5,9,11,"$66,383"
184,,,Guardz,,5,5,4,"$65,123"
185,,,Dov2hkiin,,4,5,4,"$64,944"
186,26.0,Morgan Ishizaka,Fishoguy,,13,3,3,"$64,135"
187,20.0,Gustavo Gomes,Wizard,,4,1,5,"$64,064"
188,27.0,Mark Arismendez,Mark,,3,0,5,"$63,893"
189,29.0,Rickard Olofsson,Secretly,,7,3,4,"$63,145"
190,33.0,João Gabriel Nerici,yoona,,1,4,5,"$62,927"
191,25.0,Jeremy Mao Xuan Tan,HysteRiX,,8,7,2,"$62,911"
192,25.0,Sillapakorn Dokmaikhaw,Lycolis,,7,13,6,"$62,709"
193,31.0,Glen Suryasaputra,Lunarmetal,,9,4,2,"$62,405"
194,19.0,Jaylen Turk,Ambi,,9,2,3,"$62,120"
195,20.0,Taylor Ching,Terdsta,,2,1,0,"$61,601"
196,22.0,Rennan Vitor De Paula Silva,R4re,,1,0,3,"$61,537"
197,21.0,Ryuya Hamasita,Chibisu,,0,1,2,"$60,541"
198,22.0,Diogo Dutra Lima Britto da Silva,Fntzy,,1,1,3,"$60,468"
199,,,OF4LCoN,,8,4,1,"$60,328"
200,28.0,Yuta Inoue,ReyCyil,,0,5,5,"$60,244"
201,,,live,,4,1,5,"$60,227"
202,34.0,Brandon Carr,BC,,2,4,0,"$58,812"
203,21.0,Adam Hryceniak,nudl,,2,3,4,"$58,781"
204,22.0,Vitor Peres,peres,,4,2,1,"$58,632"
205,21.0,Lee Ji-heon,GoodBoy,,6,7,3,"$58,157"
206,23.0,Anastasios Hatzis,Odah,,8,3,4,"$58,095"
207,26.0,Ryuki Matsuoka,Ramu,,3,2,2,"$57,620"
208,,,Novys,,0,1,3,"$57,477"
209,23.0,Jacob Bravico,Sweater,,3,1,2,"$56,993"
210,,,MadLegend,,7,3,1,"$56,788"
211,25.0,Ronaldo Osawa,ion,,1,3,7,"$56,330"
212,36.0,Leo Duarte Borges Pinto,ziGueira,,2,2,3,"$56,002"
213,29.0,Niklas Massierer,KS,,8,4,2,"$55,673"
214,28.0,Tsukasa Asano,Merieux,,1,3,5,"$55,208"
215,28.0,Kevin Skokowski,Easilyy,,3,2,6,"$55,026"
216,25.0,Youssef,GoldenPickl3,,1,4,7,"$54,772"
217,29.0,Lucas Konstantin Reich,Hungry,,12,5,6,"$53,744"
218,23.0,Thiago Torres Gutierro Navarro,LENDA,,1,2,4,"$53,563"
219,23.0,Guilherme Bassetto,Bassetto,,6,4,3,"$53,351"
220,28.0,Adrian Wui Hong Rui,Ysaera,,6,3,4,"$53,273"
221,24.0,Pasatron Boonrubasb,Darkk,,3,8,4,"$52,941"
222,24.0,Zachary Thomas,Nyx,,2,7,4,"$52,839"
223,23.0,Jimmy Vojtasik,DEADSHT,,3,3,1,"$52,551"
224,24.0,Sirasit Ariyasirisopol,BGMan,,2,7,7,"$52,291"
225,,,SAxTurki,,1,5,4,"$51,859"
226,28.0,Morgan Pacy,rxwd,,5,1,4,"$51,746"
227,,,Atom,,6,1,4,"$51,679"
228,21.0,Park Ju-wan,Mephi,,3,8,2,"$51,414"
229,23.0,Jordan Cheng Jia Heng,Jrdn,,6,4,1,"$51,230"
230,23.0,Jake Fortunato,Leadr,,4,3,0,"$50,967"
231,,,Brendo,,6,2,2,"$50,471"
232,23.0,Hwang Hyeon-jin,Arukaze,,5,6,1,"$49,920"
233,24.0,Alexandre Thomas,BlaZ,,8,7,7,"$49,864"
234,21.0,Sho Endo,Sironeko,,0,1,2,"$49,246"
235,29.0,Toya Miyazawa,Papilia,,0,5,4,"$48,754"
236,33.0,Julian Blin,ENEMY,,10,7,9,"$47,811"
237,21.0,Lucas Da Silva Alves,Savage,,5,2,5,"$47,455"
238,22.0,Damian Medina,Surf,,2,2,1,"$47,376"
239,20.0,Nina Abe,Nina,,3,3,0,"$47,317"
240,21.0,Dawid Marciniak,Gruby,,1,6,5,"$47,229"
241,,,Tex,,5,0,2,"$47,164"
242,20.0,Chris Park,Spiff,,7,2,2,"$46,644"
243,24.0,Cai Hong-ting,Souffle,,9,5,1,"$46,548"
244,,,Flastry,,2,2,4,"$45,975"
245,24.0,Issac Moore,Wettables,,3,3,2,"$45,752"
246,23.0,Lin Yu-siang,Pikan,,8,5,1,"$45,524"
247,24.0,Issei Asakura,LuA,,7,3,4,"$45,088"
248,23.0,Hong Sang-yeong,Misa,,3,2,4,"$44,152"
249,24.0,Luiz Vinicius Pimentel Salgado,SKaDinha,,1,0,1,"$44,050"
250,27.0,Matthew McHenry,Acez,,5,2,2,"$43,738"
251,31.0,Guilherme Alf,gohaN,,2,0,5,"$43,318"
252,20.0,Kritsanai Saemsub,KritJ,,0,3,4,"$43,011"
253,28.0,Ferenc Mérész,SirBoss,,2,3,3,"$42,728"
254,25.0,Ethan Wombwell,RizRaz,,5,1,2,"$42,588"
255,,,LoneSoldier,,1,5,6,"$42,435"
256,,,EmoRin,,7,4,2,"$42,166"
257,22.0,Jeong Hyun-seok,Rider,,3,1,6,"$42,094"
258,27.0,Kevin Pranowitz,Prano,,2,1,5,"$41,938"
259,21.0,Shuuhei Yaguchi,ShuReap,,1,2,1,"$41,650"
260,27.0,Nathan Harding,Grizzly,,1,2,7,"$41,191"
261,27.0,Ellis Pyart,Pie,,2,1,2,"$41,020"
262,32.0,Jean Prudenti,RevaN,,9,4,8,"$41,018"
263,29.0,Matthew Sharples,meepeY,,6,3,6,"$40,995"
264,26.0,Vitor Hugo Meneses Gonçalves,hugzord,,0,1,5,"$40,920"
265,29.0,Jouni Salo,Bounssi,,3,4,5,"$40,877"
266,20.0,Jay Wan,Asphy,,2,1,0,"$40,562"
267,25.0,Gabriel Pacheco,h1ghs,,0,1,2,"$40,323"
268,,,Arcully,,0,1,1,"$40,266"
269,27.0,Yudai Ichise,Wokka,,1,1,2,"$39,880"
270,38.0,Niklas Ojalainen,Willkey,,3,4,3,"$39,865"
271,26.0,Alan Ali,Rask,,1,4,7,"$39,312"
272,22.0,Koo Min-seong,RoyBoy,,4,3,6,"$38,977"
273,,,Amer,,0,2,1,"$38,143"
274,26.0,Renato Luiz,rhZ,,3,0,3,"$37,806"
275,21.0,Razaan Adiprakasa,Ape,,3,5,4,"$37,798"
276,30.0,Ethan Picard,Ethan,,7,3,3,"$37,329"
277,27.0,Artyom Morozov,wTg,,1,4,6,"$37,197"
278,23.0,Marko Pilia,Gsla,,3,1,1,"$37,180"
279,22.0,Johann Raddatz,Jay,,3,1,3,"$36,831"
280,28.0,Wagner Alfaro,wag,,0,3,5,"$36,704"
280,21.0,Wagner Vinicius Ferrari Ribeiro,wag,,0,3,5,"$36,704"
281,27.0,Pedro Dutra,pzd,,2,4,5,"$36,561"
282,24.0,Jake Brown,Sloth,,3,2,4,"$36,347"
283,29.0,Dimitri de Longeaux,Panix,,9,5,9,"$36,205"
284,23.0,Jordan Morley,Kayak,,1,4,2,"$35,584"
285,,,i3z,,1,2,4,"$35,302"
286,,,Jon,,2,5,5,"$35,005"
287,25.0,Kim Sang-woo,JLT,,3,0,6,"$34,692"
288,26.0,Kwon Yu-geun,h3dy,,14,5,2,"$34,573"
289,21.0,James Hatfield,Hat,,1,2,3,"$34,565"
290,19.0,Adrian Tryka,Adrian,,4,2,6,"$34,181"
291,,,Mantcal,,4,3,2,"$33,828"
292,23.0,Saravut Mandee,Markelelele,,10,5,3,"$33,661"
